LDGS_NM,CTPRVN_NM,GUGUN_NM,LDGS_ADDR,PET_INFO_CN
제주 코델리아 S 호텔,제주,서귀포시,제주특별자치도 서귀포시 성산읍 일주동로 4186,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
퍼스트70 호텔,제주,서귀포시,제주특별자치도 서귀포시 명동로 46,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
컬러인제주,제주,서귀포시,제주특별자치도 서귀포시 성산읍 난고로42번길 24,['반려동물 동반 불가']
3S 호텔,서울,금천구,서울 금천구 시흥대로 353,['반려동물 동반 불가']
호텔 마리나베이 서울,경기,김포시,경기 김포시 고촌읍 아라육로152번길 210-50,['반려동물 동반 불가']
이천 브라운도트 이천터미널점,경기,이천시,경기 이천시 애련정로87번길 52-8,['반려동물 동반 불가']
베스트 웨스턴 프리미어 인천에어포트,인천,중구,인천 중구 공항로424번길 48-27,['반려동물 동반 불가']
더코노셔 레지던스 호텔,서울,영등포구,서울 영등포구 국회대로68길 24,['반려동물 동반 불가']
이천 스카이썬호텔,경기,이천시,경기 이천시 중리천로 126,['반려동물 동반 불가']
아비오 호텔,강원,강릉시,강원 강릉시 창해로 229,['반려동물 동반 불가']
그랜드 시티 호텔 창원,경남,창원시,경남 창원시 성산구 중앙대로 78,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
창원 팔용동 프라하 호텔,경남,창원시,경남 창원시 의창구 창원대로363번길 22-11,['반려동물 동반 불가']
파크뷰테라스 호텔,경기,파주시,경기 파주시 소리천로 39,['반려동물 동반 불가']
케이힐스 더테라스,경기,파주시,경기 파주시 심학산로 628,['반려동물 동반 불가']
루소호텔,강원,강릉시,강원 강릉시 교동광장로100번길 12,['반려동물 동반 불가']
VV호텔,강원,강릉시,강원 강릉시 하슬라로192번길 22-1,['반려동물 동반 불가']
씨사이드아덴,제주,서귀포시,제주특별자치도 서귀포시 중문관광로 124,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
라마다 바이 윈덤 군산,전북,군산시,전북 군산시 대학로 400,['반려동물 동반 불가']
대구 메리어트 호텔,대구,동구,대구 동구 동부로26길 6,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
쏠비치 양양,강원,양양군,강원 양양군 손양면 선사유적로 678,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
더앤리조트 호텔 & 스파,강원,양양군,강원 양양군 현남면 개매길 260,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
센텀마크 호텔 양양,강원,양양군,강원 양양군 양양읍 한고개길 9,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
양양 비치 콘도,강원,양양군,강원 양양군 양양읍 일출로 159-6,['반려동물 동반 불가']
오션벨리 리조트,강원,양양군,강원 양양군 양양읍 일출로 127-30,['반려동물 동반 불가']
담양 소나무펜션,전남,담양군,전남 담양군 담양읍 세솔길 10,['반려동물 동반 불가']
담양 메타 호텔 & 리조트,전남,담양군,전남 담양군 담양읍 메타프로방스3길 4-6,['반려동물 동반 불가']
서귀포 해비치하우스펜션,제주,서귀포시,제주특별자치도 서귀포시 표선면 민속해안로 347,['반려동물 동반 불가']
서귀포 펠리시아호텔,제주,서귀포시,제주특별자치도 서귀포시 일주동로 9123,['반려동물 동반 불가']
블랑블루펜션,제주,서귀포시,제주특별자치도 서귀포시 남원읍 남태해안로 135,['반려동물 동반 불가']
부산 그레이샌즈풀빌라,부산,해운대구,부산 해운대구 송정해변로 30-1,['반려동물 동반 불가']
달그림고운펜션,강원,춘천시,강원 춘천시 동내면 춘천순환로116번길 8,['반려동물 동반 불가']
모헤닉호텔 서울 명동,서울,중구,서울 중구 퇴계로 115,['반려동물 동반 불가']
G3 호텔 충무로,서울,중구,서울 중구 충무로 7,['반려동물 동반 불가']
인터시티 서울,서울,강서구,서울 강서구 마곡중앙6로 76-3,['반려동물 동반 불가']
퍼스트스테이호텔,서울,강서구,서울 강서구 마곡동로4길 23,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
(반려동물동반전용호텔) 더 펫텔,부산,해운대구,부산 해운대구 해운대해변로197번길 12,"['반려동물 동반 무료(반려견과 반려묘만 허용, 객실당 1마리, 1마리당 최대 15 kg)', '제한 사항 적용*', '먹이/물 그릇 이용 가능']"
캔버스호스텔,부산,해운대구,부산 해운대구 해운대해변로197번길 14,['반려동물 동반 불가']
연화문호텔,경북,영덕군,경북 영덕군 남정면 동해대로 3472,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
동탄 호텔오붓 동탄역점,경기,화성시,경기 화성시 오산동 962-31,['반려동물 동반 불가']
이엘 호텔,강원,양양군,강원 양양군 강현면 동해대로 3347,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
양양국제공항호텔,강원,양양군,강원 양양군 손양면 동해대로 2338,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
투와이호텔,강원,양양군,강원 양양군 강현면 동해대로 3277-3,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
낙산 비치 호텔,강원,양양군,강원 양양군 강현면 낙산사로 73,['반려동물 동반 불가']
디그니티호텔,강원,양양군,강원 양양군 양양읍 조산리 384-28,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
탑 클라우드 호텔 광주,광주,광산구,광주 광산구 임방울대로825번길 57-1,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
광주 주월동 어썸 부띠크 호텔,광주,남구,광주 남구 봉선로9번길 31-1,['반려동물 동반 불가']
이코노미 호텔 명동 프리미어,서울,중구,서울 중구 명동8나길 9,['반려동물 동반 불가']
라인호텔명동,서울,중구,서울 중구 명동3길 36,['반려동물 동반 불가']
이끌림 비지니스 호텔,광주,동구,광주 동구 천변우로 407,['반려동물 동반 불가']
동탄 저스트슬립호텔 동탄역점,경기,화성시,경기 화성시 동탄대로11길 83,['반려동물 동반 불가']
호시카게 료칸 호텔,부산,기장군,부산 기장군 기장읍 대변로 133,['반려동물 또는 장애인 안내 동물 동반 불가']
토모노야 호텔 & 료칸 대천,충남,보령시,충남 보령시 해안로 341,['반려동물 동반 불가']
Tomonoya Hotel & Ryokan Gyeongju,경북,경주시,경북 경주시 감포읍 동해안로 2401,['반려동물 동반 불가']
블룸호텔,제주,서귀포시,제주특별자치도 서귀포시 중문관광로72번길 53,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
산방산호텔,제주,서귀포시,제주특별자치도 서귀포시 대정읍 일주서로 2093,['반려동물 동반 불가']
담모라 리조트,제주,서귀포시,제주특별자치도 서귀포시 안덕면 일주서로 1975-11,['반려동물 동반 불가']
호텔 케니 모슬포,제주,서귀포시,제주특별자치도 서귀포시 대정읍 하모중앙로 22,"['반려동물 동반 불가', '장애인 안내 동물 동반 가능']"
신신호텔 제주월드컵,제주,서귀포시,제주특별자치도 서귀포시 서호중로 55,['반려동물 동반 불가']
신신호텔 천지연,제주,서귀포시,제주특별자치도 서귀포시 서문로 42-1,['반려동물 동반 불가']
다락휴 여수 캡슐호텔 by 워커힐,전남,여수시,전남 여수시 박람회길 1,['반려동물 동반 불가']
